"Footprint","Part Value","LCSC Part"
"C1,C2","2","22uF"
"C3","1","10uF"
"C4","1","0.1uF"
"D1,D2,D3,D5,D6,D10,D11","7","LED"
"D4,D7","2","1N400x"
"D8,D9","2","SS14"
"IC1","1","MPM3610"
"J1,J2,J3,J16,J21,J22","6","Conn_01x04"
"J18,J30","2","Screw_Terminal_01x02"
"J19","1","Barrel_Jack"
"J23,J26,J27,J28","4","Conn_01x01"
"J4","1","Screw_Terminal"
"J5,J11,J29","3","Conn_01x02"
"J6,J10","2","Screw_Terminal_01x03"
"J7,J9,J12,J13,J14,J15,J17,J24,J25","9","Conn_01x03"
"J8,J20","2","Conn_02x04_Top_Bottom"
"K1,K2","2","SRD-05VDC-SL-C"
"Q1,Q2","2","PNP"
"Q4","1","AO3400A"
"R1,R2","2","100k"
"R11","1","120"
"R13,R18","2","500"
"R15,R20","2","470"
"R25","1","100"
"R3","1","18.7k"
"R4,R5,R6,R7,R14,R19,R27","7","10k"
"R8,R12,R16,R17,R21,R22,R23,R24,R26","9","1k"
"R9,R10","2","20k"
"U1,U4","2","EL357N-G"
"U2","1","MAX485"
"U3","1","ESP32-DEVKIT-V1"
