Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C4,C_0402_1005Metric,C1525,1
100,"R13,R15,R25",R_0402_1005Metric,C25076,3
100k,"R1,R2",R_0402_1005Metric,C25741,2
10k,"R14,R16,R27,R4,R5,R6,R7",R_0402_1005Metric,C25744,7
10uF,C3,C_0402_1005Metric,C15525,1
120,R11,R_0402_1005Metric,C25079,1
1k,"R12,R22,R23,R24,R8",R_0402_1005Metric,C11702,5
20k,"R10,R9",R_0402_1005Metric,C25765,2
22uF,"C1,C2",C_0603_1608Metric,C59461,2
AO3400A,"Q1,Q2,Q4",SOT-23,C20917,3
LED,"D1,D10,D4",LED_0603_1608Metric,C2286,3
SS14,"D2,D3",D_SMA,C2480,2
ESP32-DEVKIT-V1,U3,MODULE_ESP32_DEVKIT_V1,,1
MAX485,U2,SO08,,1
18.7k,R3,R_0603_1608Metric,,1
Screw_Terminal_01x02,J30,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,1
Conn_01x02,J29,PinHeader_1x02_P2.54mm_Vertical,,1
Conn_01x01,J28,PinHeader_1x01_P2.54mm_Vertical,,1
Conn_01x01,J27,PinHeader_1x01_P2.54mm_Vertical,,1
Conn_01x01,J26,PinHeader_1x01_P2.54mm_Vertical,,1
Conn_01x03,J25,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x03,J24,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x01,J23,PinHeader_1x01_P2.54mm_Vertical,,1
Conn_01x04,J22,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04,J21,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_02x04_Top_Bottom,J20,PinHeader_2x04_P2.54mm_Vertical,,1
Conn_01x03,J17,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_01x04,J16,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x02,J11,PinHeader_1x02_P2.54mm_Vertical,,1
Screw_Terminal_01x02,J10,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,1
Screw_Terminal_01x02,J9,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,1
Conn_02x04_Top_Bottom,J8,PinHeader_2x04_P2.54mm_Vertical,,1
Screw_Terminal_01x02,J7,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,1
Barrel_Jack,J6,BarrelJack_GCT_DCJ200-10-A_Horizontal,,1
Conn_01x02,J5,PinHeader_1x02_P2.54mm_Vertical,,1
Screw_Terminal,J4,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",,1
Conn_01x04,J3,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_01x04,J1,PinHeader_1x04_P2.54mm_Vertical,,1
MPM3610,IC1,MPM3610,,1
